"Timestamp","How many SQL servers does your company manage?","How many SQL Server databases does your company manage?","What's your total SQL Server database volume?","What's your biggest SQL Server database?","How many SQL Server DBAs does your company employ?","What versions of SQL are you using?","Which of these features are you using?","What do you use for backups?","How are you testing your SQL Server backups?","What SQL Server HA/DR tools/features do you use?","What's your biggest worry or pain for your SQL Server backups? (i.e. having enough space, getting done within backup window, having access in an emergency)"
"2018/01/30 7:14:09 AM MST","100+","2001+","50TB+","5TB-10TB","6-10","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Third party DR tool (Double Take, SIOS, etc.)",""
"2018/01/30 7:18:51 AM MST","50-100","101-500","10TB-25TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012","Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Availability Groups",""
"2018/01/30 7:20:28 AM MST","100+","501-2000","25TB-50TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","Speed of restore for our largest database (we occasionally have to refresh a test system from it)"
"2018/01/30 7:27:34 AM MST","10-25","101-500","50TB+","Over 10TB","2-5","SQL 2014;SQL 2016","Compression - Page or Row","“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","Definitely not enough space. Also the duration of the backups and restores"
"2018/01/30 7:28:17 AM MST","10-25","501-2000","0-10TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","","Avamar backups slow our systems down to a crawl when they're running. "
"2018/01/30 7:28:51 AM MST","50-100","2001+","50TB+","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Compression - Page or Row;Filestream;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Backup job verification","Failover Cluster Instance;Log Shipping","Reliability of restores and speed of access in a DR situation"
"2018/01/30 7:29:54 AM MST","50-100","101-500","10TB-25TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index","“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Failover Cluster Instance",""
"2018/01/30 7:34:34 AM MST","25-50","101-500","0-10TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Log Shipping","Speed of recovery."
"2018/01/30 7:35:24 AM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012","","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Backup job verification","","Need a place to restore and test backups."
"2018/01/30 7:36:17 AM MST","100+","2001+","10TB-25TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","Space "
